observation_date,USALOLITONOSTSAM
2000-01-01,101.22350000000000
2000-02-01,101.16580000000000
2000-03-01,101.08020000000000
2000-04-01,100.97460000000000
2000-05-01,100.84420000000000
2000-06-01,100.69700000000000
2000-07-01,100.53360000000001
2000-08-01,100.34110000000000
2000-09-01,100.11680000000000
2000-10-01,99.84575000000000
2000-11-01,99.53703000000000
2000-12-01,99.20428000000000
2001-01-01,98.90028000000000
2001-02-01,98.66687000000000
2001-03-01,98.51558000000000
2001-04-01,98.43899000000000
2001-05-01,98.41459000000000
2001-06-01,98.39322000000000
2001-07-01,98.35278000000000
2001-08-01,98.29589000000000
2001-09-01,98.25891000000000
2001-10-01,98.30439000000000
2001-11-01,98.45556000000001
2001-12-01,98.69349000000000
2002-01-01,98.96920000000000
2002-02-01,99.23076000000000
2002-03-01,99.42764000000000
2002-04-01,99.50980000000000
2002-05-01,99.45938000000000
2002-06-01,99.28413999999999
2002-07-01,99.03129000000000
2002-08-01,98.76103999999999
2002-09-01,98.51003000000000
2002-10-01,98.31223000000000
2002-11-01,98.18129000000000
2002-12-01,98.09320000000000
2003-01-01,98.02883000000000
2003-02-01,97.99784000000000
2003-03-01,98.02911000000000
2003-04-01,98.14709999999999
2003-05-01,98.34695000000001
2003-06-01,98.60476000000000
2003-07-01,98.90761999999999
2003-08-01,99.24580000000000
2003-09-01,99.60869000000000
2003-10-01,99.97696000000001
2003-11-01,100.32070000000000
2003-12-01,100.60970000000000
2004-01-01,100.82810000000001
2004-02-01,100.95900000000000
2004-03-01,101.01710000000000
2004-04-01,101.01550000000000
2004-05-01,100.97380000000000
2004-06-01,100.90100000000000
2004-07-01,100.80320000000000
2004-08-01,100.69499999999999
2004-09-01,100.60080000000001
2004-10-01,100.53700000000001
2004-11-01,100.51130000000001
2004-12-01,100.49950000000000
2005-01-01,100.46920000000000
2005-02-01,100.41419999999999
2005-03-01,100.34460000000000
2005-04-01,100.29310000000000
2005-05-01,100.28270000000001
2005-06-01,100.31130000000000
2005-07-01,100.35670000000000
2005-08-01,100.42180000000000
2005-09-01,100.51870000000000
2005-10-01,100.65680000000000
2005-11-01,100.82250000000001
2005-12-01,100.97990000000000
2006-01-01,101.10100000000000
2006-02-01,101.17720000000000
2006-03-01,101.20340000000000
2006-04-01,101.17680000000000
2006-05-01,101.11950000000000
2006-06-01,101.06720000000000
2006-07-01,101.03720000000000
2006-08-01,101.04870000000000
2006-09-01,101.10750000000000
2006-10-01,101.19490000000000
2006-11-01,101.29880000000000
2006-12-01,101.41000000000000
2007-01-01,101.51790000000000
2007-02-01,101.62320000000000
2007-03-01,101.73190000000000
2007-04-01,101.83510000000000
2007-05-01,101.91350000000000
2007-06-01,101.95420000000000
2007-07-01,101.94270000000000
2007-08-01,101.87600000000000
2007-09-01,101.77900000000000
2007-10-01,101.67019999999999
2007-11-01,101.55450000000000
2007-12-01,101.44260000000000
2008-01-01,101.32580000000000
2008-02-01,101.19310000000000
2008-03-01,101.04660000000000
2008-04-01,100.86420000000000
2008-05-01,100.61570000000000
2008-06-01,100.26649999999999
2008-07-01,99.78567000000000
2008-08-01,99.16016000000000
2008-09-01,98.40291000000001
2008-10-01,97.57042000000000
2008-11-01,96.77334000000000
2008-12-01,96.10251000000000
2009-01-01,95.61550000000000
2009-02-01,95.34590000000000
2009-03-01,95.30938999999999
2009-04-01,95.49648000000001
2009-05-01,95.84531000000000
2009-06-01,96.29185000000000
2009-07-01,96.77999000000000
2009-08-01,97.27346000000000
2009-09-01,97.74572000000001
2009-10-01,98.18285000000000
2009-11-01,98.58450000000001
2009-12-01,98.95368000000001
2010-01-01,99.27216000000000
2010-02-01,99.50830999999999
2010-03-01,99.66566000000000
2010-04-01,99.72920999999999
2010-05-01,99.70831000000000
2010-06-01,99.63864000000000
2010-07-01,99.57850999999999
2010-08-01,99.57319000000000
2010-09-01,99.63367000000000
2010-10-01,99.74897000000000
2010-11-01,99.91078000000000
2010-12-01,100.08350000000000
2011-01-01,100.23020000000000
2011-02-01,100.31920000000000
2011-03-01,100.31810000000000
2011-04-01,100.22470000000000
2011-05-01,100.04920000000000
2011-06-01,99.81157000000000
2011-07-01,99.55637000000000
2011-08-01,99.34052000000000
2011-09-01,99.22665000000001
2011-10-01,99.24260000000000
2011-11-01,99.37043000000000
2011-12-01,99.56332999999999
2012-01-01,99.75617000000000
2012-02-01,99.89115000000000
2012-03-01,99.94395000000000
2012-04-01,99.91798000000000
2012-05-01,99.83439000000000
2012-06-01,99.72973000000000
2012-07-01,99.64982999999999
2012-08-01,99.61892000000000
2012-09-01,99.64855000000000
2012-10-01,99.71512000000000
2012-11-01,99.80225000000000
2012-12-01,99.91215000000000
2013-01-01,100.03980000000000
2013-02-01,100.17000000000000
2013-03-01,100.27920000000000
2013-04-01,100.38120000000001
2013-05-01,100.48230000000000
2013-06-01,100.56229999999999
2013-07-01,100.61100000000000
2013-08-01,100.64000000000000
2013-09-01,100.65219999999999
2013-10-01,100.65610000000000
2013-11-01,100.65960000000000
2013-12-01,100.65309999999999
2014-01-01,100.64210000000000
2014-02-01,100.65720000000000
2014-03-01,100.69860000000000
2014-04-01,100.75030000000000
2014-05-01,100.79570000000000
2014-06-01,100.82920000000000
2014-07-01,100.84600000000000
2014-08-01,100.84860000000000
2014-09-01,100.83810000000000
2014-10-01,100.81130000000000
2014-11-01,100.76860000000001
2014-12-01,100.70520000000000
2015-01-01,100.62240000000000
2015-02-01,100.52640000000000
2015-03-01,100.42640000000000
2015-04-01,100.32700000000000
2015-05-01,100.22210000000000
2015-06-01,100.10780000000000
2015-07-01,99.96508000000000
2015-08-01,99.80468999999999
2015-09-01,99.64994000000000
2015-10-01,99.52224000000000
2015-11-01,99.41467000000000
2015-12-01,99.32087000000000
2016-01-01,99.24446000000000
2016-02-01,99.19215000000000
2016-03-01,99.17310000000001
2016-04-01,99.17165000000000
2016-05-01,99.17371000000000
2016-06-01,99.17411000000000
2016-07-01,99.18951000000000
2016-08-01,99.23175999999999
2016-09-01,99.31292999999999
2016-10-01,99.42847000000000
2016-11-01,99.56319000000001
2016-12-01,99.69708000000000
2017-01-01,99.80352000000001
2017-02-01,99.87235000000000
2017-03-01,99.90405000000000
2017-04-01,99.91348000000001
2017-05-01,99.91911000000000
2017-06-01,99.93415000000000
2017-07-01,99.96451999999999
2017-08-01,100.03300000000000
2017-09-01,100.13100000000000
2017-10-01,100.24710000000000
2017-11-01,100.36430000000000
2017-12-01,100.47720000000000
2018-01-01,100.58710000000001
2018-02-01,100.68590000000000
2018-03-01,100.74670000000000
2018-04-01,100.76450000000000
2018-05-01,100.74930000000001
2018-06-01,100.70760000000000
2018-07-01,100.64130000000000
2018-08-01,100.55260000000000
2018-09-01,100.42749999999999
2018-10-01,100.26060000000000
2018-11-01,100.06619999999999
2018-12-01,99.86469000000000
2019-01-01,99.67632000000000
2019-02-01,99.51739999999999
2019-03-01,99.38997999999999
2019-04-01,99.27512000000000
2019-05-01,99.17093000000000
2019-06-01,99.08028000000000
2019-07-01,99.00743000000000
2019-08-01,98.96102999999999
2019-09-01,98.96491000000000
2019-10-01,99.01381000000001
2019-11-01,99.08696999999999
2019-12-01,99.15616000000000
2020-01-01,99.18732000000000
2020-02-01,99.15326000000000
2020-03-01,97.89362000000000
2020-04-01,93.48370000000000
2020-05-01,94.92280000000000
2020-06-01,96.59299000000000
2020-07-01,97.98195000000000
2020-08-01,98.58877000000000
2020-09-01,98.85850000000001
2020-10-01,99.18831000000000
2020-11-01,99.54637000000000
2020-12-01,99.92158999999999
2021-01-01,100.25790000000001
2021-02-01,100.59350000000001
2021-03-01,100.88630000000001
2021-04-01,101.13100000000000
2021-05-01,101.20370000000000
2021-06-01,101.21129999999999
2021-07-01,101.16880000000000
2021-08-01,101.10639999999999
2021-09-01,101.05490000000000
2021-10-01,101.01830000000000
2021-11-01,100.98739999999999
2021-12-01,100.94150000000000
2022-01-01,100.86470000000000
2022-02-01,100.75040000000000
2022-03-01,100.58530000000000
2022-04-01,100.36799999999999
2022-05-01,100.10160000000000
2022-06-01,99.82359000000000
2022-07-01,99.57863999999999
2022-08-01,99.38433000000001
2022-09-01,99.22839000000000
2022-10-01,99.10165000000001
2022-11-01,99.00354000000000
2022-12-01,98.94633000000000
2023-01-01,98.92989000000000
2023-02-01,98.93414000000000
2023-03-01,98.95952000000000
2023-04-01,99.02001000000000
2023-05-01,99.11296000000000
2023-06-01,99.22750000000001
2023-07-01,99.33507000000000
2023-08-01,99.42046000000001
2023-09-01,99.48235000000000
2023-10-01,99.53435000000000
2023-11-01,99.60859000000001
2023-12-01,99.71787999999999
2024-01-01,99.85411000000001
